Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/house/for-rent/waterloo/1410/10956598,4.0,6,1970.0,nivelles,non_flood_zone,0.0,1.0,2519.0,installed,425.0,waterloo,0.0,4.0,C,1410,5500,10956598,walloon_brabant,wallonie,0.0,0.0,good,villa,2519.0,0.0,1.0,5.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/ixelles/1050/10956216,1.0,3,0.0,brussels,non_flood_zone,0.0,0.0,0.0,usa_installed,200.0,ixelles,200.0,2.0,B,1050,2700,10956216,brussels,brussels,6.0,2.0,good,apartment,0.0,0.0,1.0,3.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/saint-gilles/1060/10955785,1.0,0,0.0,brussels,null,0.0,0.0,0.0,installed,35.0,saint-gilles,0.0,2.0,NULL,1060,750,10955785,brussels,brussels,0.0,1.0,just_renovated,flat_studio,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/etterbeek/1040/10954247,1.0,1,1920.0,brussels,null,0.0,0.0,0.0,installed,55.0,etterbeek,200.0,2.0,NULL,1040,900,10954247,brussels,brussels,0.0,0.0,null,duplex,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/uccle/1180/10952639,4.0,6,0.0,brussels,non_flood_zone,0.0,0.0,0.0,hyper_equipped,800.0,uccle,0.0,4.0,D,1180,12000,10952639,brussels,brussels,0.0,0.0,as_new,villa,0.0,1.0,1.0,6.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/tervuren/3080/10947896,3.0,5,0.0,leuven,null,0.0,0.0,0.0,null,210.0,tervuren,0.0,4.0,C,3080,2750,10947896,flemish_brabant,flanders,16.0,0.0,as_new,villa,496.0,0.0,1.0,3.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/eernegem/8480/10947228,1.0,2,2009.0,oostend,null,0.0,0.0,0.0,null,85.0,eernegem,30.0,0.0,B,8480,820,10947228,west_flanders,flanders,1.0,0.0,good,apartment,0.0,0.0,1.0,2.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/linkebeek/1630/10945272,3.0,4,0.0,halle-vilvoorde,non_flood_zone,0.0,1.0,680.0,hyper_equipped,289.0,linkebeek,0.0,4.0,D,1630,4500,10945272,flemish_brabant,flanders,0.0,0.0,as_new,villa,2500.0,0.0,1.0,3.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/ixelles/1050/10941482,1.0,3,0.0,brussels,null,0.0,0.0,0.0,null,150.0,ixelles,0.0,0.0,G,1050,3800,10941482,brussels,brussels,3.0,1.0,good,penthouse,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/10941191,1.0,2,2018.0,gent,null,0.0,0.0,0.0,null,81.0,gent,114.0,0.0,NULL,9000,1200,10941191,east_flanders,flanders,5.0,0.0,good,service_flat,0.0,0.0,0.0,0.0,2,residential_monthly_rent
