Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/apartment/for-rent/cognelee/5022/11395986,1.0,2,0.0,namur,null,0.0,0.0,0.0,installed,64.0,cognelée,148.0,0.0,D,5022,795,11395986,namur,wallonie,7.0,0.0,null,apartment,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/waregem/8790/11437168,2.0,2,0.0,kortrijk,null,0.0,0.0,0.0,null,238.0,waregem,0.0,0.0,B,8790,1400,11437168,west_flanders,flanders,5.0,0.0,null,apartment,0.0,0.0,0.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/borgerhout/2140/11395968,1.0,2,0.0,antwerp,null,0.0,0.0,0.0,null,85.0,borgerhout,65.0,0.0,B,2140,865,11395968,antwerp,flanders,9.0,0.0,null,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/egem/8740/11395923,1.0,2,0.0,tielt,non_flood_zone,0.0,0.0,0.0,installed,98.0,egem,0.0,0.0,B,8740,575,11395923,west_flanders,flanders,9.0,0.0,good,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/eeklo/9900/11395875,1.0,2,1998.0,eeklo,non_flood_zone,0.0,0.0,0.0,installed,85.0,eeklo,50.0,0.0,B,9900,720,11395875,east_flanders,flanders,10.0,0.0,good,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/waregem/8790/11395871,1.0,2,2019.0,kortrijk,non_flood_zone,0.0,0.0,0.0,null,103.0,waregem,0.0,0.0,A,8790,725,11395871,west_flanders,flanders,11.0,0.0,good,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/fosses-la-ville/5070/11437058,0.0,1,0.0,namur,null,0.0,0.0,0.0,installed,70.0,fosses-la-ville,0.0,0.0,NULL,5070,680,11437058,namur,wallonie,2.0,1.0,just_renovated,apartment,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/11437039,1.0,1,0.0,gent,null,0.0,0.0,0.0,installed,90.0,gent,65.0,0.0,B,9000,975,11437039,east_flanders,flanders,8.0,0.0,good,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/zottegem/9620/11437032,0.0,2,0.0,aalst,possible_flood_zone,0.0,0.0,0.0,installed,96.0,zottegem,0.0,0.0,NULL,9620,945,11437032,east_flanders,flanders,8.0,0.0,null,apartment,0.0,0.0,0.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/meulebeke/8760/11395788,1.0,2,2016.0,tielt,null,0.0,0.0,0.0,null,83.0,meulebeke,40.0,0.0,NULL,8760,760,11395788,west_flanders,flanders,11.0,0.0,good,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/huy/4500/11395755,1.0,2,0.0,huy,non_flood_zone,0.0,0.0,0.0,null,60.0,huy,0.0,2.0,D,4500,725,11395755,liège,wallonie,0.0,0.0,null,duplex,0.0,0.0,0.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/tihange/4500/11395754,1.0,1,0.0,huy,null,0.0,0.0,0.0,null,68.0,tihange,0.0,4.0,F,4500,650,11395754,liège,wallonie,0.0,0.0,null,apartment,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/vilvoorde/1800/11395707,2.0,2,2023.0,halle-vilvoorde,null,0.0,0.0,0.0,null,100.0,vilvoorde,0.0,0.0,NULL,1800,1200,11395707,flemish_brabant,flanders,12.0,0.0,as_new,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/tongeren/3700/11436954,1.0,2,0.0,tongeren,non_flood_zone,0.0,0.0,0.0,installed,84.0,tongeren,0.0,0.0,B,3700,850,11436954,limburg,flanders,8.0,1.0,as_new,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/libramont-chevigny/6800/11436918,1.0,2,2024.0,neufchâteau,non_flood_zone,0.0,0.0,0.0,hyper_equipped,75.0,libramont-chevigny,20.0,0.0,A,6800,790,11436918,luxembourg,wallonie,2.0,0.0,null,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/11436910,1.0,1,0.0,gent,null,0.0,0.0,0.0,null,120.0,gent,0.0,3.0,A,9000,1490,11436910,east_flanders,flanders,1.0,1.0,null,loft,0.0,0.0,1.0,2.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/liege/4000/11436880,1.0,2,0.0,liège,null,0.0,0.0,0.0,installed,65.0,liège,0.0,0.0,NULL,4000,800,11436880,liège,wallonie,4.0,1.0,just_renovated,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/anderlecht/1070/11436877,1.0,1,0.0,brussels,null,0.0,0.0,0.0,semi_equipped,65.0,anderlecht,250.0,0.0,E,1070,850,11436877,brussels,brussels,0.0,0.0,null,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/beringen-paal/3583/11389436,1.0,2,0.0,hasselt,non_flood_zone,0.0,0.0,0.0,installed,117.0,beringen_paal,50.0,2.0,C,3583,725,11389436,limburg,flanders,0.0,0.0,good,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/sint-baafs-vijve/8710/11395663,1.0,2,2022.0,tielt,non_flood_zone,0.0,0.0,0.0,installed,128.0,sint-baafs-vijve,50.0,0.0,A,8710,795,11395663,west_flanders,flanders,9.0,0.0,good,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/linkebeek/1630/11395582,3.0,4,2010.0,halle-vilvoorde,null,0.0,0.0,0.0,usa_uninstalled,290.0,linkebeek,0.0,4.0,D,1630,4800,11395582,flemish_brabant,flanders,0.0,0.0,as_new,apartment,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/harveng/7022/11395032,1.0,3,0.0,mons,non_flood_zone,0.0,1.0,50.0,hyper_equipped,180.0,harveng,0.0,3.0,C,7022,1000,11395032,hainaut,wallonie,8.0,0.0,just_renovated,apartment,0.0,0.0,0.0,2.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/leuven/3000/11436774,1.0,1,1977.0,leuven,null,0.0,0.0,0.0,installed,22.0,leuven,90.0,0.0,D,3000,750,11436774,flemish_brabant,flanders,5.0,0.0,just_renovated,flat_studio,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/izegem/8870/11436770,1.0,2,2016.0,roeselare,non_flood_zone,0.0,0.0,0.0,usa_installed,94.0,izegem,130.0,0.0,A,8870,950,11436770,west_flanders,flanders,0.0,0.0,as_new,penthouse,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/antwerpen/2100/11436749,1.0,1,0.0,antwerp,null,0.0,0.0,0.0,null,80.0,antwerpen,0.0,0.0,NULL,2100,795,11436749,antwerp,flanders,0.0,0.0,as_new,apartment,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/seraing/4100/11436718,1.0,1,0.0,liège,null,0.0,0.0,0.0,null,90.0,seraing,215.0,0.0,NULL,4100,630,11436718,liège,wallonie,3.0,0.0,null,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/seraing/4100/11436716,1.0,1,0.0,liège,null,0.0,0.0,0.0,null,85.0,seraing,215.0,0.0,NULL,4100,590,11436716,liège,wallonie,0.0,0.0,null,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/brasschaat/2930/11436703,1.0,2,1992.0,antwerp,null,0.0,0.0,0.0,not_installed,85.0,brasschaat,50.0,2.0,B,2930,890,11436703,antwerp,flanders,0.0,0.0,good,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/jette/1090/11436700,1.0,2,1930.0,brussels,non_flood_zone,0.0,0.0,0.0,installed,90.0,jette,60.0,3.0,G,1090,1100,11436700,brussels,brussels,0.0,1.0,just_renovated,duplex,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/westerlo/2260/11436681,1.0,2,0.0,turnhout,non_flood_zone,0.0,0.0,0.0,installed,101.0,westerlo,0.0,2.0,NULL,2260,735,11436681,antwerp,flanders,8.0,0.0,just_renovated,ground_floor,0.0,0.0,0.0,1.0,2,residential_monthly_rent
