Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/house/for-rent/montigny-le-tilleul/6110/20008538,1.0,4,0.0,charleroi,non_flood_zone,0.0,1.0,120.0,usa_installed,180.0,montigny-le-tilleul,0.0,2.0,NULL,6110,1200,20008538,hainaut,wallonie,3.0,1.0,just_renovated,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/antwerpen/2018/20008470,1.0,3,0.0,antwerp,non_flood_zone,0.0,0.0,0.0,installed,191.0,antwerpen,0.0,2.0,C,2018,1600,20008470,antwerp,flanders,0.0,1.0,as_new,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/balen/2490/20008461,1.0,3,2023.0,turnhout,null,0.0,0.0,0.0,installed,101.0,balen,0.0,3.0,NULL,2490,1100,20008461,antwerp,flanders,0.0,0.0,null,house,244.0,0.0,0.0,1.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/balen/2490/20008460,1.0,3,2023.0,turnhout,null,0.0,0.0,0.0,installed,100.0,balen,0.0,3.0,NULL,2490,1100,20008460,antwerp,flanders,0.0,0.0,null,house,306.0,0.0,0.0,1.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/balen/2490/20008459,1.0,3,2023.0,turnhout,null,0.0,0.0,0.0,installed,101.0,balen,0.0,3.0,NULL,2490,1100,20008459,antwerp,flanders,0.0,0.0,null,house,352.0,0.0,0.0,1.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/balen/2490/20008458,1.0,3,2023.0,turnhout,null,0.0,0.0,0.0,installed,101.0,balen,0.0,3.0,NULL,2490,1100,20008458,antwerp,flanders,0.0,0.0,null,house,234.0,0.0,0.0,1.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/puurs-sint-amands/2870/20008434,1.0,6,1936.0,mechelen,non_flood_zone,0.0,1.0,120.0,null,230.0,puurs-sint-amands,0.0,2.0,B,2870,1250,20008434,antwerp,flanders,1.0,0.0,as_new,house,263.0,0.0,0.0,1.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/uccle/1180/20008435,2.0,4,1950.0,brussels,non_flood_zone,0.0,1.0,250.0,installed,220.0,uccle,50.0,2.0,E,1180,3500,20008435,brussels,brussels,0.0,2.0,good,house,425.0,0.0,1.0,3.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/ottignies-louvain-la-neuve/1348/11408185,2.0,5,1980.0,nivelles,null,0.0,1.0,120.0,installed,270.0,ottignies-louvain-la-neuve,60.0,2.0,C,1348,500,11408185,walloon_brabant,wallonie,0.0,0.0,as_new,mixed_use_building,0.0,0.0,1.0,2.0,1,residential_monthly_rent
https://www.immoweb.be/en/classified/house/for-rent/rixensart/1330/11407380,2.0,3,0.0,nivelles,non_flood_zone,0.0,0.0,0.0,semi_equipped,150.0,rixensart,0.0,2.0,E,1330,1200,11407380,walloon_brabant,wallonie,0.0,2.0,good,house,0.0,0.0,0.0,2.0,1,residential_monthly_rent
